latitude,longitude,date,hour
41.108000000000004,-106.19200000000001,2020-09-26,1810
41.106,-106.18,2020-09-26,1810
41.104,-106.167,2020-09-26,1810
41.101000000000006,-106.154,2020-09-26,1810
41.099,-106.14200000000001,2020-09-26,1810
41.097,-106.12899999999999,2020-09-26,1810
41.105,-106.23200000000001,2020-09-26,1810
41.103,-106.22,2020-09-26,1810
41.101000000000006,-106.20700000000001,2020-09-26,1810
41.099,-106.195,2020-09-26,1810
41.097,-106.182,2020-09-26,1810
41.1,-106.26,2020-09-26,1810
41.098,-106.24700000000001,2020-09-26,1810
41.096000000000004,-106.235,2020-09-26,1810
41.093999999999994,-106.223,2020-09-26,1810
41.092,-106.21,2020-09-26,1810
41.09,-106.198,2020-09-26,1810
41.093,-106.275,2020-09-26,1810
41.091,-106.26299999999999,2020-09-26,1810
41.089,-106.25,2020-09-26,1810
41.086999999999996,-106.238,2020-09-26,1810
41.085,-106.225,2020-09-26,1810
41.083,-106.213,2020-09-26,1810
41.08,-106.25299999999999,2020-09-26,1810
40.772,-105.65700000000001,2020-09-26,1810
40.763000000000005,-105.66,2020-09-26,1810
40.760999999999996,-105.647,2020-09-26,1810
40.756,-105.62,2020-09-26,1810
40.751,-105.65,2020-09-26,1810
40.749,-105.63600000000001,2020-09-26,1810
40.747,-105.62299999999999,2020-09-26,1810
40.745,-105.666,2020-09-26,1810
40.742,-105.652,2020-09-26,1810
40.733000000000004,-105.59899999999999,2020-09-26,1810
40.73,-105.585,2020-09-26,1810
40.728,-105.572,2020-09-26,1810
40.726,-105.559,2020-09-26,1810
40.729,-105.60600000000001,2020-09-26,1810
40.727,-105.59200000000001,2020-09-26,1810
40.725,-105.579,2020-09-26,1810
40.722,-105.566,2020-09-26,1810
40.745,-105.755,2020-09-26,1810
40.729,-105.662,2020-09-26,1810
40.727,-105.648,2020-09-26,1810
40.724000000000004,-105.635,2020-09-26,1810
40.718,-105.594,2020-09-26,1810
40.715,-105.581,2020-09-26,1810
40.736,-105.757,2020-09-26,1810
40.722,-105.678,2020-09-26,1810
40.72,-105.665,2020-09-26,1810
40.717,-105.65100000000001,2020-09-26,1810
40.711,-105.611,2020-09-26,1810
40.708,-105.59700000000001,2020-09-26,1810
40.705999999999996,-105.583,2020-09-26,1810
40.713,-105.68,2020-09-26,1810
40.699,-105.59899999999999,2020-09-26,1810
40.703,-105.738,2020-09-26,1810
40.694,-105.741,2020-09-26,1810
40.593,-105.697,2020-09-26,1810
40.521,-105.765,2020-09-26,1810
28.63,-100.568,2020-09-26,1950
33.922,-111.81200000000001,2020-09-26,1950
40.516,-105.762,2020-09-26,1950
40.525999999999996,-105.765,2020-09-26,1950
40.593,-105.682,2020-09-26,1950
40.59,-105.696,2020-09-26,1950
40.588,-105.709,2020-09-26,1950
40.611,-105.64,2020-09-26,1950
40.6,-105.698,2020-09-26,1950
40.621,-105.64299999999999,2020-09-26,1950
40.602,-105.74600000000001,2020-09-26,1950
40.599000000000004,-105.76100000000001,2020-09-26,1950
40.704,-105.589,2020-09-26,1950
40.701,-105.603,2020-09-26,1950
40.719,-105.56200000000001,2020-09-26,1950
40.716,-105.57700000000001,2020-09-26,1950
40.726,-105.579,2020-09-26,1950
40.721,-105.609,2020-09-26,1950
40.718,-105.62299999999999,2020-09-26,1950
40.736,-105.583,2020-09-26,1950
40.726,-105.64,2020-09-26,1950
40.723,-105.654,2020-09-26,1950
40.75,-105.617,2020-09-26,1950
40.748000000000005,-105.631,2020-09-26,1950
40.745,-105.646,2020-09-26,1950
40.743,-105.66,2020-09-26,1950
40.76,-105.62,2020-09-26,1950
40.758,-105.635,2020-09-26,1950
40.755,-105.649,2020-09-26,1950
40.753,-105.662,2020-09-26,1950
40.736999999999995,-105.751,2020-09-26,1950
40.77,-105.62299999999999,2020-09-26,1950
40.766999999999996,-105.63799999999999,2020-09-26,1950
40.765,-105.652,2020-09-26,1950
40.762,-105.666,2020-09-26,1950
40.755,-105.708,2020-09-26,1950
40.777,-105.641,2020-09-26,1950
