latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
39.48423,-84.38742,303.1,0.36,0.57,2020-09-26,0642,N,nominal,2.0NRT,289.3,1.1,N
39.47839,-84.37939,298.6,0.36,0.57,2020-09-26,0642,N,nominal,2.0NRT,288,1.9,N
39.46796,-84.38467,302.5,0.36,0.57,2020-09-26,0642,N,nominal,2.0NRT,288.2,0.5,N
39.08098,-79.69055,298.7,0.4,0.44,2020-09-26,0642,N,nominal,2.0NRT,283.5,0.4,N
38.98812,-87.72491,301.8,0.54,0.68,2020-09-26,0642,N,nominal,2.0NRT,287.2,0.8,N
38.83355,-84.24072,325.9,0.35,0.57,2020-09-26,0642,N,nominal,2.0NRT,290.4,2.3,N
38.83458,-84.24264,298.3,0.35,0.57,2020-09-26,0642,N,nominal,2.0NRT,288.1,1.2,N
38.83434,-84.23879,319.7,0.35,0.57,2020-09-26,0642,N,nominal,2.0NRT,289.7,1.2,N
38.99215,-87.72409,300.4,0.54,0.68,2020-09-26,0642,N,nominal,2.0NRT,287.5,2,N
38.76349,-84.89372,298.4,0.38,0.58,2020-09-26,0642,N,nominal,2.0NRT,287.2,0.4,N
38.76326,-84.99895,305.7,0.38,0.59,2020-09-26,0642,N,nominal,2.0NRT,288.2,0.7,N
38.7636,-84.99692,300.7,0.38,0.59,2020-09-26,0642,N,nominal,2.0NRT,288.2,1.6,N
38.75783,-84.99224,303.2,0.38,0.59,2020-09-26,0642,N,nominal,2.0NRT,288.2,0.7,N
38.79848,-87.25101,317.2,0.5,0.66,2020-09-26,0642,N,nominal,2.0NRT,288.7,1.9,N
38.73699,-86.45771,299.1,0.46,0.63,2020-09-26,0642,N,nominal,2.0NRT,287.1,0.5,N
38.56122,-84.8147,301.3,0.37,0.58,2020-09-26,0642,N,nominal,2.0NRT,286.7,0.5,N
38.56024,-84.8157,298,0.37,0.58,2020-09-26,0642,N,nominal,2.0NRT,286.6,0.4,N
37.76823,-81.64142,297.9,0.49,0.49,2020-09-26,0642,N,nominal,2.0NRT,284.9,0.7,N
36.97046,-84.58584,298.1,0.35,0.57,2020-09-26,0642,N,nominal,2.0NRT,286.8,0.3,N
34.23929,-84.79981,341.6,0.34,0.56,2020-09-26,0642,N,nominal,2.0NRT,289.5,2.3,N
34.23904,-84.79611,311.4,0.34,0.56,2020-09-26,0642,N,nominal,2.0NRT,288.8,2.3,N
34.23842,-84.7988,352.6,0.34,0.56,2020-09-26,0642,N,nominal,2.0NRT,289,4,N
27.89066,-97.2718,305.3,0.5,0.41,2020-09-26,0830,N,nominal,2.0NRT,294.2,1,N
27.82061,-97.20926,306.9,0.51,0.41,2020-09-26,0830,N,nominal,2.0NRT,294,2.2,N
27.83043,-97.52533,306.3,0.49,0.4,2020-09-26,0830,N,nominal,2.0NRT,295.5,1.6,N
27.81353,-97.42261,307.4,0.49,0.41,2020-09-26,0830,N,nominal,2.0NRT,293.6,1.2,N
27.81076,-97.42847,306.3,0.49,0.41,2020-09-26,0830,N,nominal,2.0NRT,295.3,1.2,N
27.81717,-97.48385,308.9,0.49,0.4,2020-09-26,0830,N,nominal,2.0NRT,296.5,2,N
28.10046,-101.10442,305.5,0.39,0.36,2020-09-26,0830,N,nominal,2.0NRT,294.2,0.4,N
28.68597,-106.09052,307.8,0.52,0.42,2020-09-26,0830,N,nominal,2.0NRT,289.7,1.7,N
29.04692,-110.71457,307.8,0.32,0.55,2020-09-26,0830,N,nominal,2.0NRT,294,0.7,N
26.88746,-101.45049,309.2,0.39,0.36,2020-09-26,0830,N,nominal,2.0NRT,295.4,1.3,N
26.87799,-101.41261,338.1,0.39,0.36,2020-09-26,0830,N,nominal,2.0NRT,296.8,3.4,N
26.87539,-101.4162,307.4,0.39,0.36,2020-09-26,0830,N,nominal,2.0NRT,294.3,1.1,N
26.85458,-101.39253,314.2,0.39,0.36,2020-09-26,0830,N,nominal,2.0NRT,292.7,0.8,N
26.48102,-99.97588,305.5,0.41,0.37,2020-09-26,0830,N,nominal,2.0NRT,293.6,0.4,N
26.01851,-98.4823,306.8,0.47,0.4,2020-09-26,0830,N,nominal,2.0NRT,294.7,0.7,N
25.77189,-100.1793,307.6,0.41,0.37,2020-09-26,0830,N,nominal,2.0NRT,293.7,1,N
25.74991,-100.31786,307.6,0.41,0.37,2020-09-26,0830,N,nominal,2.0NRT,296.3,1.2,N
25.72282,-100.30264,311.7,0.41,0.37,2020-09-26,0830,N,nominal,2.0NRT,296.7,1,N
25.72213,-100.29861,311.3,0.41,0.37,2020-09-26,0830,N,nominal,2.0NRT,296,1,N
25.71875,-100.29932,331,0.41,0.37,2020-09-26,0830,N,nominal,2.0NRT,297.4,2.1,N
25.71944,-100.30334,308.9,0.41,0.37,2020-09-26,0830,N,nominal,2.0NRT,295.5,2.1,N
25.69629,-100.26974,322.1,0.41,0.37,2020-09-26,0830,N,nominal,2.0NRT,297.2,2.3,N
25.69767,-100.29872,326.3,0.41,0.37,2020-09-26,0830,N,nominal,2.0NRT,297.8,2.5,N
25.59352,-99.93591,307.7,0.42,0.37,2020-09-26,0830,N,nominal,2.0NRT,296.5,1.3,N
25.59152,-99.94489,308.4,0.42,0.37,2020-09-26,0830,N,nominal,2.0NRT,297.6,2.3,N
25.58254,-99.93394,311,0.42,0.38,2020-09-26,0830,N,nominal,2.0NRT,294.4,1.4,N
25.61445,-100.86574,297.1,0.4,0.37,2020-09-26,0830,N,nominal,2.0NRT,287,0.4,N
25.61112,-100.86642,297,0.4,0.37,2020-09-26,0830,N,nominal,2.0NRT,286.4,0.5,N
25.60625,-100.91992,300.3,0.39,0.37,2020-09-26,0830,N,nominal,2.0NRT,286.6,1.4,N
25.60292,-100.9206,329.4,0.39,0.37,2020-09-26,0830,N,nominal,2.0NRT,288.3,1.4,N
25.32738,-99.95734,319.1,0.42,0.38,2020-09-26,0830,N,nominal,2.0NRT,292.9,1.6,N
25.48776,-103.39635,309.3,0.39,0.36,2020-09-26,0830,N,nominal,2.0NRT,294,0.9,N
23.30057,-100.55815,299.7,0.42,0.38,2020-09-26,0830,N,nominal,2.0NRT,286.1,0.6,N
23.19721,-100.59086,298.6,0.42,0.38,2020-09-26,0830,N,nominal,2.0NRT,286,0.6,N
23.78206,-105.34247,296.9,0.43,0.38,2020-09-26,0830,N,nominal,2.0NRT,278.6,0.5,N
22.2658,-97.80551,314,0.38,0.43,2020-09-26,0830,N,nominal,2.0NRT,293.9,2.5,N
22.26184,-97.80637,322.9,0.38,0.43,2020-09-26,0830,N,nominal,2.0NRT,293.8,4.6,N
22.25858,-97.81092,316,0.38,0.43,2020-09-26,0830,N,nominal,2.0NRT,293,4.7,N
22.47274,-100.38023,308.3,0.43,0.38,2020-09-26,0830,N,nominal,2.0NRT,288.7,1.4,N
22.04439,-98.871,310.1,0.51,0.41,2020-09-26,0830,N,nominal,2.0NRT,293.6,2,N
22.10284,-100.91299,295.6,0.42,0.37,2020-09-26,0830,N,nominal,2.0NRT,283.6,0.2,N
21.94762,-102.36024,295.7,0.39,0.36,2020-09-26,0830,N,nominal,2.0NRT,283,0.3,N
20.51644,-97.47707,335.6,0.43,0.46,2020-09-26,0830,N,nominal,2.0NRT,289.6,3.3,N
20.49995,-97.36922,302.7,0.43,0.46,2020-09-26,0830,N,nominal,2.0NRT,289,0.3,N
20.51654,-97.47996,329.9,0.43,0.46,2020-09-26,0830,N,nominal,2.0NRT,289.3,2.9,N
20.51577,-97.47589,320,0.43,0.46,2020-09-26,0830,N,nominal,2.0NRT,289.2,2.9,N
21.72902,-105.04042,304.3,0.41,0.37,2020-09-26,0830,N,nominal,2.0NRT,292.3,0.5,N
20.46017,-97.54762,303.5,0.42,0.46,2020-09-26,0830,N,nominal,2.0NRT,288.9,0.6,N
20.38276,-99.68964,297,0.49,0.4,2020-09-26,0830,N,nominal,2.0NRT,284,1.4,N
20.38489,-99.69131,302.4,0.49,0.4,2020-09-26,0830,N,nominal,2.0NRT,285.2,1.6,N
20.57968,-101.17179,310.9,0.42,0.38,2020-09-26,0830,N,nominal,2.0NRT,287.2,1.6,N
20.57831,-101.16377,302.5,0.42,0.38,2020-09-26,0830,N,nominal,2.0NRT,285.4,1.2,N
20.57625,-101.17245,309.2,0.42,0.38,2020-09-26,0830,N,nominal,2.0NRT,286.5,1.2,N
20.52626,-100.92291,298,0.43,0.38,2020-09-26,0830,N,nominal,2.0NRT,287.7,1.1,N
20.52279,-100.92358,312.6,0.43,0.38,2020-09-26,0830,N,nominal,2.0NRT,289.1,1.1,N
20.04967,-99.29121,306,0.52,0.41,2020-09-26,0830,N,nominal,2.0NRT,281.7,2.2,N
20.01317,-99.1768,300.4,0.52,0.42,2020-09-26,0830,N,nominal,2.0NRT,283.9,0.9,N
20.59989,-103.34294,298.4,0.38,0.36,2020-09-26,0830,N,nominal,2.0NRT,286.4,0.5,N
19.3451,-96.70809,300.8,0.5,0.49,2020-09-26,0830,N,nominal,2.0NRT,287.5,1.9,N
18.64038,-96.21375,338.5,0.55,0.51,2020-09-26,0830,N,nominal,2.0NRT,288.9,5.3,N
18.64144,-96.21899,316.8,0.55,0.51,2020-09-26,0830,N,nominal,2.0NRT,288.4,5.3,N
18.63971,-96.21633,348,0.55,0.51,2020-09-26,0830,N,nominal,2.0NRT,289,9.7,N
18.50824,-96.14642,310.3,0.56,0.52,2020-09-26,0830,N,nominal,2.0NRT,286.3,1.6,N
18.50748,-96.14798,306,0.56,0.52,2020-09-26,0830,N,nominal,2.0NRT,286.3,1,N
17.97209,-94.51595,301,0.37,0.58,2020-09-26,0830,N,nominal,2.0NRT,267.4,1,N
17.96821,-94.51639,301.6,0.37,0.58,2020-09-26,0830,N,nominal,2.0NRT,264.9,1.1,N
45.07394,-83.40508,300.8,0.35,0.56,2020-09-26,0824,N,nominal,2.0NRT,286.9,1.5,N
45.07277,-83.4009,302,0.35,0.56,2020-09-26,0824,N,nominal,2.0NRT,286.5,1.1,N
48.11254,-102.90308,300,0.4,0.45,2020-09-26,0824,N,nominal,2.0NRT,282.1,0.7,N
48.0181,-103.8811,300,0.44,0.46,2020-09-26,0824,N,nominal,2.0NRT,280.6,0.5,N
48.01688,-103.88304,300,0.44,0.46,2020-09-26,0824,N,nominal,2.0NRT,280.2,0.4,N
47.92117,-102.85884,295.5,0.4,0.44,2020-09-26,0824,N,nominal,2.0NRT,283.6,1,N
47.88948,-102.69102,305,0.39,0.44,2020-09-26,0824,N,nominal,2.0NRT,285.1,0.4,N
47.89393,-102.88071,298.4,0.4,0.44,2020-09-26,0824,N,nominal,2.0NRT,284.3,0.9,N
43.27668,-79.82459,303.6,0.57,0.69,2020-09-26,0824,N,nominal,2.0NRT,286.3,1.3,N
43.27025,-79.80473,306.6,0.57,0.69,2020-09-26,0824,N,nominal,2.0NRT,288.4,2.1,N
43.26433,-79.80833,312.9,0.57,0.69,2020-09-26,0824,N,nominal,2.0NRT,288.5,1.3,N
43.26217,-79.80169,298.7,0.57,0.69,2020-09-26,0824,N,nominal,2.0NRT,286.6,1.3,N
43.25843,-79.81203,298.9,0.57,0.69,2020-09-26,0824,N,nominal,2.0NRT,286.7,1.3,N
